Ticker,Company Name,Net Cash from / (used in) Operating Activities,Net Cash from / (used in) Investing Activities,Net Cash from / (used in) Financing Activities,Cash and Cash Equivalents at End of Period, Cash Cover (#Qs) 
GSS.AX,Genetic Signatures Ltd," 2,562,000 "," (2,373,000)"," 7,479,000 "," 18,124,000 ",
GT1.AX,Green Technology Metals Ltd," (1,161,000)"," (13,607,000)"," 14,354,000 "," 16,527,000 ",
GTE.AX,Great Western Exploration Ltd," (148,000)"," (1,103,000)"," 1,050,000 "," 1,817,000 ",
GTN.AX,GTN Ltd," 19,026,000 "," (5,640,000)"," (18,842,000)"," 30,606,000 ",
GTR.AX,GTI Energy Ltd," (129,000)"," (497,000)"," (10,000)"," 2,072,000 ",
GUE.AX,Global Uranium and Enrichment Ltd," (351,000)"," (163,000)"," (3,000)"," 1,178,000 ",
HAR.AX,Haranga Resources Ltd," (802,000)", 0 ," 2,523,000 "," 1,952,000 ",
HAS.AX,Hastings Technology Metals Ltd," (1,636,000)"," (23,087,000)"," (564,000)"," 42,167,000 ",
HAV.AX,Havilah Resources Ltd," 1,279,358 "," (1,129,659)"," (7,558)"," 3,792,689 ",
HCH.AX,Hot Chili Ltd," (7,143,000)"," (541,000)", - ," 13,321,000 ",
HCL.AX,Highcom Ltd," (26,313,281)"," (1,651,816)"," (2,005,783)"," 6,894,578 ",
HFR.AX,Highfield Resources Ltd," (1,949,000)"," (1,655,000)"," 1,300,000 "," 14,083,000 ",
HGO.AX,Hillgrove Resources Ltd," (4,610,000)"," (9,527,000)"," (303,000)"," 10,240,000 ",
HHR.AX,Hartshead Resources NL," (1,748,000)"," (3,904,000)", - ," 29,343,000 ",
HIO.AX,Hawsons Iron Ltd," (720,000)"," (1,408,000)"," (38,000)"," 3,191,000 ",
HIT.AX,Hitech Group Australia Ltd," 6,192,130 "," (76,451)"," (5,544,964)"," 10,583,253 ",
HLO.AX,Helloworld Travel Ltd," (19,056,000)"," (4,282,000)"," (17,447,000)", 0 ,
HMX.AX,Hammer Metals Ltd," (215,000)"," (1,341,000)"," (28,000)"," 1,825,000 ",
HNG.AX,Hancock & Gore Ltd," 1,174,000 "," (5,718,000)"," (3,520,000)"," 5,644,000 ",
HPG.AX,Hipages Group Holdings Ltd," 15,697,000 "," (15,503,000)"," (2,581,000)"," 8,540,000 ",
HZN.AX,Horizon Oil Ltd," 71,960,000 "," (32,287,000)"," (40,326,000)"," 43,591,000 ",
HZR.AX,Hazer Group Ltd," (809,000)"," (1,667,000)"," (1,905,000)"," 10,680,000 ",
ICI.AX,Icandy Interactive Ltd," (1,171,000)"," (422,000)"," (88,000)"," 6,356,000 ",
IDA.AX,Indiana Resources Ltd," (1,462,000)"," 28,000 "," 3,568,000 "," 2,714,000 ",
IDT.AX,IDT Australia Ltd," (7,902,000)"," (522,000)"," 3,643,000 "," 4,433,000 ",
IDX.AX,Integral Diagnostics Ltd," 71,418,000 "," (128,958,000)"," (31,849,000)"," 33,855,000 ",
IGL.AX,IVE Group Ltd," 23,228,000 "," (25,475,000)"," (20,000,000)"," 44,860,000 ",
IIQ.AX,INOVIQ Ltd," (300,000)"," (14,000)", - ," 5,974,000 ",
IMA.AX,Image Resources NL," 13,760,000 "," (2,843,000)", - ," 46,197,000 ",
IMB.AX,Intelligent Monitoring Group Ltd," 1,259,000 "," (5,981,000)"," (240,000)"," 8,878,000 ",
IMM.AX,Immutep Ltd," (5,489,000)"," (93,000)"," (69,000)"," 103,735,000 ",
IMR.AX,Imricor Medical Systems Inc," (3,055,000)"," (10,000)"," 2,523,000 "," 832,000 ",
IND.AX,Industrial Minerals Ltd," (261,000)"," (511,000)"," 1,349,000 "," 1,439,000 ",
INF.AX,Infinity Lithium Corporation Ltd," (708,000)"," (975,000)", - ," 9,617,000 ",
INR.AX,ioneer Ltd," (2,082,000)"," (8,420,000)"," (29,000)"," 27,988,000 ",
IOD.AX,Iodm Ltd," (787,000)", 0 ," (44,000)"," 827,000 ",
IPD.AX,ImpediMed Ltd," (4,057,000)"," (417,000)"," (65,000)"," 36,905,000 ",
IPG.AX,IPD Group Ltd," 7,420,000 "," (2,100,000)"," (10,027,000)"," 20,757,000 ",
IPT.AX,Impact Minerals Ltd," (386,000)"," (654,000)", - ," 2,098,000 ",
IPX.AX,Iperionx Ltd," (4,128,000)"," (1,858,000)"," 18,200,000 "," 17,329,000 ",
IR1.AX,IRIS Metals Ltd," (942,000)"," (1,389,000)"," 7,298,000 "," 13,006,000 ",
IRI.AX,Integrated Research Ltd," 13,818,000 "," (6,656,000)"," (1,699,000)"," 22,000,000 ",
IVR.AX,Investigator Resources Ltd," (235,000)"," (1,282,000)"," 3,773,000 "," 5,511,000 ",
IVZ.AX,Invictus Energy Ltd," (995,000)"," (16,662,000)"," 7,252,000 "," 4,692,000 ",
IXR.AX,Ionic Rare Earths Ltd," (6,943,000)"," (513,000)"," 6,387,000 "," 4,538,000 ",
JAN.AX,Janison Education Group Ltd," 5,444,000 "," (5,146,000)"," (65,000)"," 12,039,000 ",
JGH.AX,Jade Gas Holdings Ltd," (465,000)"," (1,865,000)"," 1,609,000 "," 2,127,000 ",
JLL.AX,Jindalee Lithium Ltd," (505,000)"," (1,058,000)"," 4,061,000 "," 3,295,000 ",
JMS.AX,Jupiter Mines Ltd," (1,889,183)"," 51,136,439 "," (39,336,635)"," 49,486,940 ",
JRV.AX,Jervois Global Ltd," (1,831,000)"," (4,489,000)"," (3,215,000)"," 45,368,000 ",
JYC.AX,Joyce Corporation Ltd," 24,950,000 "," 10,658,000 "," (21,462,000)"," 46,079,000 ",
KAI.AX,Kairos Minerals Ltd," (264,000)"," (1,551,000)", - ," 6,423,000 ",
KAU.AX,Kaiser Reef Ltd," (2,029,000)"," (982,000)"," (3,464,000)"," 4,241,000 ",
KCN.AX,Kingsgate Consolidated Ltd," (6,157,000)"," (2,614,000)"," 14,165,000 "," 9,742,000 ",
KIN.AX,Kin Mining NL," (1,567,000)"," 2,005,000 ", - ," 2,805,000 ",
KM1.AX,Kali Metals Ltd," (87,000)"," (273,000)"," 12,167,000 "," 13,476,000 ",
KNG.AX,Kingsland Minerals Ltd," (286,000)"," (992,000)", - ," 2,438,000 ",
KOB.AX,Koba Resources Ltd," (136,000)"," (378,000)", 0 ," 4,197,000 ",
KOV.AX,Korvest Ltd," 6,875,000 "," (2,392,000)"," (4,605,000)", 0 ,
KPG.AX,Kelly Partners Group Holdings Ltd," 13,953,000 "," (10,812,000)"," 1,616,000 ", 0 ,
KRM.AX,Kingsrose Mining Ltd," (1,682,000)"," (1,434,000)"," (17,000)"," 27,250,000 ",
KSC.AX,K&S Corporation Ltd," 101,586,000 "," (57,127,000)"," (32,331,000)"," 39,537,000 ",
KSN.AX,Kingston Resources Ltd," 3,949,000 "," (7,237,000)"," (9,000)"," 10,540,000 ",
KYP.AX,Kinatico Ltd," 3,645,907 "," (3,953,856)"," (1,963,961)"," 9,629,066 ",
KZR.AX,Kalamazoo Resources Ltd," (573,000)"," (1,024,000)"," 235,000 "," 1,146,000 ",
LAU.AX,Lindsay Australia Ltd," 86,003,000 "," (34,107,000)"," (28,964,000)"," 51,973,000 ",
LBL.AX,LaserBond Ltd," 7,704,326 "," (1,327,427)"," (3,131,496)"," 8,929,215 ",
LCL.AX,LCL Resources Ltd," (523,000)"," (1,482,000)"," 2,776,000 "," 3,717,000 ",
LDX.AX,Lumos Diagnostics Holdings Ltd," (2,395,000)"," (7,000)"," 1,273,000 "," 1,379,000 ",
LEL.AX,Lithium Energy Ltd," (449,000)"," (2,169,000)", - ," 2,123,000 ",
LGI.AX,LGI Ltd," 6,958,000 "," (11,259,000)"," 3,464,000 "," 52,000 ",
LGL.AX,Lynch Group Holdings Ltd," 32,489,000 "," (16,204,000)"," (12,391,000)"," 36,409,000 ",
LIN.AX,Lindian Resources Ltd," (3,415,000)",, - ," 19,687,000 ",
LIS.AX,Li-S Energy Ltd," (1,292,000)"," (1,681,000)"," (251,000)"," 26,877,000 ",
LIT.AX,Lithium Australia Ltd," (2,072,000)"," 529,000 "," 816,000 "," 4,931,000 ",
LKE.AX,Lake Resources NL," (17,966,000)"," (8,000)"," (524,000)"," 31,308,000 ",
LLI.AX,Loyal Lithium Ltd," (2,683,000)"," (404,000)"," (108,000)"," 6,404,000 ",
LM8.AX,Lunnon Metals Ltd," (4,126,000)"," (1,361,000)"," 752,000 "," 27,173,000 ",
LMG.AX,Latrobe Magnesium Ltd," (731,000)"," 4,603,000 "," (2,393,000)"," 2,431,000 ",
LOM.AX,Lucapa Diamond Co Ltd," (926,000)"," 2,343,000 "," (3,819,000)"," 4,476,000 ",
LPD.AX,Lepidico Ltd," (1,728,000)"," (990,000)"," 35,000 "," 5,690,000 ",
LPI.AX,Lithium Power International Ltd," (45,000)"," (10,311,000)"," 2,689,000 "," 28,875,000 ",
LPM.AX,Lithium Plus Minerals Ltd," (560,000)"," (3,695,000)"," 7,560,000 "," 9,408,000 ",
LRK.AX,Lark Distilling Co Ltd," (795,000)"," (216,000)"," (62,000)"," 5,525,000 ",
LRS.AX,Latin Resources Ltd," (14,786,000)"," (536,000)"," 32,879,000 "," 51,788,000 ",
LRV.AX,Larvotto Resources Ltd," (1,142,000)"," (5,081,000)"," 7,046,000 "," 2,428,000 ",
LSX.AX,Lion Selection Group Ltd," (1,373,000)"," (3,058,000)"," (8,654,000)"," 7,534,000 ",
LTP.AX,LTR Pharma Ltd," (2,043,982,000)",," 6,510,828,000 "," 6,019,672,000 ",
LV1.AX,Live Verdure Ltd," (814,000)"," (89,000)"," 948,000 "," 1,283,000 ",
LYL.AX,Lycopodium Ltd," 18,771,974 "," (3,426,823)"," (34,052,331)"," 82,412,067 ",
M7T.AX,Mach7 Technologies Ltd," (223,000)"," (14,000)"," 56,000 "," 22,729,000 ",
MAH.AX,Macmahon Holdings Ltd," 266,854,000 "," (193,140,000)"," (55,195,000)"," 218,162,000 ",
MAN.AX,Mandrake Resources Ltd," (229,000)",, - ," 15,288,000 ",
MAP.AX,Microba Life Sciences Ltd," (6,598,000)"," (10,455,000)"," 18,967,000 "," 27,846,000 ",
MAU.AX,Magnetic Resources NL," (3,441,000)"," (4,000)"," 356,000 "," 4,361,000 ",
MAY.AX,Melbana Energy Ltd," (1,208,000)"," (8,341,000)", - ," (20,068,000)",
MBH.AX,Maggie Beer Holdings Ltd," 6,524,000 "," (1,026,000)"," (7,083,000)"," 9,216,000 ",
MCA.AX,Murray Cod Australia Ltd," 4,583,000 "," 1,759,000 "," 17,992,000 "," 17,872,000 ",
MCE.AX,Matrix Composites & Engineering Ltd," (9,050,000)"," (9,995,000)"," 24,001,000 "," 12,547,000 ",
MCP.AX,McPherson's Ltd," 6,548,000 "," (1,849,000)"," (10,910,000)"," 7,031,000 ",
MDR.AX,Medadvisor Ltd," 15,200,000 "," (1,760,000)"," (227,000)"," (22,535,000)",
MEI.AX,Meteoric Resources NL," (7,551,000)"," 27,444,000 "," 4,946,000 "," 32,301,000 ",
MEK.AX,Meeka Metals Ltd," (516,000)"," (1,024,000)"," 5,111,000 "," 4,678,000 ",
MEM.AX,Memphasys Ltd," (606,000)"," (39,000)"," 588,000 "," 24,000 ",
MEU.AX,Marmota Ltd," (39,000)"," (246,000)"," (11,000)"," 3,133,000 ",
MGT.AX,Magnetite Mines Ltd," (1,208,000)"," (1,326,000)"," 3,805,000 "," 4,354,000 ",
MGU.AX,Magnum Mining and Exploration Ltd," 902,440 ",," 12,000 "," 2,636,950 ",
MHC.AX,Manhattan Corp Ltd," (623,000)"," (121,000)", - ," 2,660,000 ",
MHJ.AX,Michael Hill International Ltd," 80,072,000 "," (82,323,000)"," (73,524,000)"," 20,867,000 ",
MI6.AX,Minerals 260 Ltd," (1,781,000)"," (23,000)"," (8,000)"," 13,641,000 ",
MIL.AX,Millennium Services Group Ltd," 2,702,000 "," 629,000 "," (2,965,000)"," 2,132,000 ",
MKG.AX,Mako Gold Ltd," (182,000)"," (649,000)"," 804,000 "," 792,000 ",
MKR.AX,Manuka Resources Ltd," 1,080,000 "," 154,000 "," (838,000)"," 552,000 ",
MLG.AX,MLG OZ Ltd," 32,706,093 "," 354,527 "," (38,554,377)"," (5,748,254)",
MLS.AX,Metals Australia Ltd," (140,000)"," (465,000)", 0 ," 14,970,000 ",
MLX.AX,Metals X Ltd," 11,558,000 "," (18,838,000)"," 113,929,000 "," 124,027,000 ",
MMA.AX,Maronan Metals Ltd," (1,561,000)", 0 , 0 ," 2,024,000 ",
MMC.AX,Mitre Mining Corporation Ltd," (1,330,000)"," (363,000)"," 2,159,000 "," 2,605,000 ",
MMI.AX,Metro Mining Ltd," 6,781,000 "," (11,668,000)"," (4,762,000)"," 12,070,000 ",
MNB.AX,Minbos Resources Ltd," (3,087,000)"," (1,027,000)"," (17,000)"," 4,606,000 ",
MPA.AX,Mad Paws Holdings Ltd," 954,000 "," (321,000)"," (175,000)"," 3,556,000 ",
MRL.AX,Mayur Resources Ltd," (972,000)"," (3,366,000)"," 6,607,000 "," 4,000,000 ",
MRR.AX,Minrex Resources Ltd," (784,000)"," 87,000 "," 18,000 "," 10,338,000 ",
MSB.AX,Mesoblast Ltd," (12,328,000)"," 39,000 "," 34,818,000 "," 77,554,000 ",
MSV.AX,Mitchell Services Ltd," 35,628,028 "," (8,058,128)"," (20,204,665)"," 11,107,630 ",
MTC.AX,Metalstech Ltd," (265,000)"," (375,000)"," 500,000 "," 610,000 ",
MTO.AX,MotorCycle Holdings Ltd," 39,263,000 "," (26,379,000)"," 7,940,000 "," 24,734,000 ",
MVP.AX,Medical Developments International Ltd," (17,061,000)"," (7,099,000)"," 28,063,000 "," 24,661,000 ",
MWY.AX,Midway Ltd," (12,257,000)"," 79,994,000 "," (65,100,000)"," 5,606,000 ",
MX1.AX,Micro-X Ltd," 4,313,000 "," (138,000)"," (181,000)"," 5,307,000 ",
MXI.AX,Maxiparts Ltd," 15,074,000 "," (10,552,000)"," (2,422,000)"," 13,952,000 ",
MXR.AX,Maximus Resources Ltd," (227,000)"," (205,000)", - ," 2,147,000 ",
MYX.AX,Mayne Pharma Group Ltd," (42,712,000)"," 473,485,000 "," (431,886,000)"," 92,616,000 ",
MZZ.AX,Matador Mining Ltd," (547,000)"," (1,367,000)"," 7,987,000 "," 8,952,000 ",
NAM.AX,Namoi Cotton Ltd," 16,676,000 "," (1,852,000)"," 10,012,000 "," 18,572,000 ",
NC1.AX,Nico Resources Ltd," (882,000)"," (1,558,000)"," 6,851,000 "," 7,389,000 ",
NDO.AX,Nido Education Ltd," (9,952,000)"," (2,542,000)"," 18,333,000 "," 5,839,000 ",
NET.AX,Netlinkz Ltd," (4,147,000)"," (39,000)"," 5,363,000 "," 1,711,000 ",
NHE.AX,Noble Helium Ltd," (2,391,000)"," (15,202,000)"," 10,629,000 "," 1,160,000 ",
NIM.AX,Nimy Resources Ltd," (1,199,000)"," (5,000)"," 750,000 "," 1,062,000 ",
NMT.AX,Neometals Ltd," (2,941,000)"," (2,773,000)"," 11,110,000 "," 19,561,000 ",
NOV.AX,Novatti Group Ltd," (3,757,000)"," 8,834,000 "," (9,111,000)"," 10,808,000 ",
NRZ.AX,NeuRizer Ltd," (870,000)"," 2,179,000 "," (810,000)"," 847,000 ",
NTD.AX,National Tyre & Wheel Ltd," 24,172,000 "," (6,249,000)"," (18,037,000)"," 32,579,000 ",
NTI.AX,Neurotech International Ltd," 1,342,000 ", 0 ," 260,000 "," 4,479 000 ",
NTU.AX,Northern Minerals Ltd," (4,989,000)"," (353,000)"," (51,000)"," 24,318,000 ",
NVA.AX,Nova Minerals Ltd," (630,000)"," (4,767,000)", - ," 6,228,000 ",
NVX.AX,NOVONIX Ltd," (6,137,000)"," (2,256,000)"," (447,000)"," 78,713,000 ",
NWC.AX,New World Resources Ltd," (226,000)"," (4,738,000)"," 10,306,000 "," 8,348,000 ",
NXD.AX,NextEd Group Ltd," 25,180,000 "," (6,146,000)"," 15,931,000 "," 30,264,000 ",
NXM.AX,Nexus Minerals Ltd," (731,000)",," 2,826,000 "," 5,576,000 ",
NXS.AX,Next Science Ltd," (3,153,000)"," (115,000)"," 42,000 "," 9,239,000 ",
OAU.AX,Ora Gold Ltd," (606,000)"," (2,095,000)"," 4,694,000 "," 4,296,000 ",
OBM.AX,Ora Banda Mining Ltd," (7,810,000)"," 7,377,000 "," (3,059,000)"," 19,240,000 ",
OCC.AX,Orthocell Ltd," (2,429,000)"," (316,000)"," 60,000 "," 19,625,000 ",
ODA.AX,Orcoda Ltd," 177,000 "," (33,000)"," (345,000)"," 5,285,000 ",
OEC.AX,Orbital Corporation Ltd," (941,000)"," (83,000)"," 865,000 "," 4,126,000 ",
OEL.AX,Otto Energy Ltd," 771,000 "," 1,052,000 ", - ," 34,120,000 ",
OFX.AX,OFX Group Ltd," 32,996,000 "," (13,873,000)"," (19,854,000)"," 347,027,000 ",
OJC.AX,Original Juice Co Ltd," (2,331,000)"," (436,000)"," 4,240,000 "," 2,379,000 ",
OMA.AX,Omega Oil & Gas Ltd," (665,000)"," (6,390,000)"," 16,730,000 "," 13,764,000 ",
OMH.AX,OM Holdings Ltd," 196,958,000 "," (30,890,000)"," (180,748,000)"," 53,262,000 ",
ONE.AX,Oneview Healthcare PLC," (122,000)"," (420,000)"," (48,000)"," (11,542,000)",
OPT.AX,Opthea Ltd," (120,608,379)"," (21,954)"," 167,285,110 "," 89,188,713 ",
ORR.AX,Orecorp Ltd," (8,606,000)"," 15,000 "," (24,000)"," 14,939,000 ",
OSL.AX,Oncosil Medical Ltd," (1,177,000)",, - ," 4,898,000 ",
OZM.AX,Ozaurum Resources Ltd," (454,000)"," (279,000)"," (32,000)"," 2,140,000 ",
PAA.AX,Pharmaust Ltd," (192,000)", 0 ," 3,929,000 "," 5,463,000 ",
PAR.AX,Paradigm Biopharmaceuticals Ltd," (28,557,000)",," 28,346,000 "," 33,551,000 ",
PBH.AX,Pointsbet Holdings Ltd," (1,123,000)"," (7,939,000)"," (178,000)"," 611,888 ",
PBP.AX,Probiotec Ltd," 17,167,559 "," (13,737,254)"," (11,583,459)"," 14,050,414 ",
PCK.AX,PainChek Ltd," (2,423,000)"," (11,000)"," 777,000 "," 2,003,000 ",
PCL.AX,Pancontinental Energy NL," (268,000)"," (98,000)"," (3,000)"," 4,555,000 ",
PDI.AX,Predictive Discovery Ltd," (818,000)"," (9,847,000)"," 896,000 "," 25,534,000 ",
PEK.AX,Peak Rare Earths Ltd," (5,536,000)"," (321,000)", - ," 15,291,000 ",
PEN.AX,Peninsula Energy Ltd," 10,391,000 "," (4,951,000)"," (139,000)"," 17,935,000 ",
PER.AX,Percheron Therapeutics Ltd," (2,029,000)",," (1,000)"," 17,194,000 ",
PEX.AX,Peel Mining Ltd," (132,000)"," (1,219,000)", - ," 9,278,000 ",
PFG.AX,Prime Financial Group Ltd," 4,217,447 "," 3,627,408 "," 324,565 "," 1,043,303 ",
PGC.AX,Paragon Care Ltd," 17,749,000 "," (31,746,000)"," 10,002,000 "," 22,603,000 ",
PGD.AX,Peregrine Gold Ltd," (988,000)"," (100,000)"," 1,391,000 "," 2,539,000 ",
PGH.AX,Pact Group Holdings Ltd," 186,398,000 "," (143,682,000)"," (62,487,000)"," 78,040,000 ",
PGY.AX,Pilot Energy Ltd," (1,176,000)"," (1,713,000)"," 3,318,000 "," 2,087,000 ",
PH2.AX,Pure Hydrogen Corporation Ltd," (601,000)"," (202,000)", - ," 8,564,000 ",
PIL.AX,Peppermint Innovation Ltd," (734,000)"," 270,000 ", - ," 1,955,000 ",
PIQ.AX,Proteomics International Laboratories Ltd," 372,000 "," (360,000)"," 41,000 "," 4,970,000 ",
PLY.AX,Playside Studios Ltd," 11,248,000 "," (4,185,000)"," (223,000)"," 38,296,000 ",
PNM.AX,Pacific Nickel Mines Ltd," (12,274,000)"," (3,601,000)", 0 ," 6,748,000 ",
PNN.AX,Power Minerals Ltd," (836,000)"," (1,839,000)"," 2,323,000 "," 1,992,000 ",
PNR.AX,Pantoro Ltd," (4,258,000)"," (20,098,000)"," (1,864,000)"," (44,467,000)",
PNX.AX,PNX Metals Ltd," (638,000)"," (157,000)"," (16,000)"," 1,224,000 ",
POD.AX,Podium Minerals Ltd," (440,000)"," (68,000)"," 2,031,000 "," 4,158,000 ",
POS.AX,Poseidon Nickel Ltd," (2,276,000)"," (1,931,000)"," 145,000 "," 3,003,000 ",
PPE.AX,PeopleIn Ltd," 64,362,579 "," (21,099,555)"," (30,497,753)"," 39,867,858 ",
PPK.AX,PPK Group Ltd," (9,549,000)"," (3,732,000)"," 272,000 "," 39,999,000 ",
PPL.AX,Pureprofile Ltd," 2,568,692 "," (2,650,471)"," (521,937)"," 4,726,460 ",
PPS.AX,Praemium Ltd," 23,457,866 "," (8,401,628)"," (48,988,216)"," 46,253,718 ",
PRO.AX,Prophecy International Holdings Ltd," (1,195,789)"," (167,296)"," (398,065)"," 11,735,885 ",
PSC.AX,Prospect Resources Ltd," (1,537,000)"," (1,012,000)", 0 ," 21,165,000 ",
PSQ.AX,Pacific Smiles Group Ltd," 40,874,000 "," (10,547,000)"," (23,559,000)"," 18,573,000 ",
PTL.AX,Prestal Holdings Ltd," 6,381,000 "," (5,020,000)"," (7,709,000)"," 1,784,000 ",
PTX.AX,Prescient Therapeutics Ltd," (280,000)"," 3,999,000 ", - ," 6,417,000 ",
PUR.AX,Pursuit Minerals Ltd," (331,000)"," (635,000)"," (5,000)"," 2,703,000 ",
PVE.AX,PO Valley Energy Ltd," 940,000 "," (269,000)"," (7,000)"," 1,253,000 ",
PVT.AX,Pivotal Metals Ltd," (516,000)"," (578,000)"," 915,000 "," 5,056,000 ",
PWR.AX,Peter Warren Automotive Holdings Ltd," 73,847,000 "," (10,348,000)"," (65,041,000)"," 50,635,000 ",
PXX.AX,Polarx Ltd," (415,000)"," (445,000)"," (40,000)"," 873,000 ",
PYC.AX,PYC Therapeutics Ltd," 4,861,000 "," (217,000)"," (78,000)"," 25,414,000 ",
QGL.AX,Quantum Graphite Ltd," (463,000)"," (91,000)"," 300,000 "," 989,000 ",
QIP.AX,QANTM Intellectual Property Ltd," 16,317,000 "," (3,345,000)"," 12,371,000 "," 8,021,000 ",
QOR.AX,Qoria Ltd," (1,238,000)"," (2,546,000)"," (1,668,000)"," 12,696,000 ",
QPM.AX,Queensland Pacific Metals Ltd," (14,173,000)"," (741,000)"," 2,734,000 "," 27,520,000 ",
QXR.AX,QX Resources Ltd," (483,000)"," (1,375,000)"," 3,183,000 "," 2,011,000 ",
RAC.AX,Race Oncology Ltd," (4,499,000)",," 321,000 "," 13,716,000 ",
RAD.AX,Radiopharm Theranostics Ltd," (1,905,000)",," 1,980,000 "," 1,894,000 ",
RCE.AX,Recce Pharmaceuticals Ltd," (2,287,679)"," (13,840)"," (2,052,693)"," 4,008,561 ",
RDG.AX,Resource Development Group Ltd," 9,196,112 "," (27,379,474)"," 6,737,139 "," 3,923,482 ",
RDM.AX,Red Metal Ltd," (2,420,000)"," 21,000 "," 2,837,000 "," 5,446,000 ",
RDN.AX,Raiden Resources Ltd," (1,328,000)"," (350,000)"," 3,698,000 "," 7,714,000 ",
RDY.AX,Readytech Holdings Ltd," 27,806,000 "," (27,778,000)"," 11,387,000 "," 20,616,000 ",
REX.AX,Regional Express Holdings Ltd," 60,983,000 "," (122,806,000)"," 68,851,000 "," 49,252,000 ",
RFG.AX,Retail Food Group Ltd," (1,698,000)"," (1,706,000)"," (3,611,000)"," 22,263,000 ",
RFX.AX,Redflow Ltd," (2,619,000)"," (179,000)"," (211,000)"," 9,698,000 ",
RHY.AX,Rhythm Biosciences Ltd," (302,000)"," (1,000)"," (23,000)"," 1,218,000 ",
RIM.AX,Rimfire Pacific Mining Ltd," (163,000)"," (296,000)"," 1,120,000 "," 1,204,000 ",
RKN.AX,Reckon Ltd," 7,687,000 "," 78,168,000 "," (85,930,000)"," 1,233,000 ",
RNU.AX,Renascor Resources Ltd," 458,000 "," (3,425,000)", - ," 124,917,000 ",
RTH.AX,Ras Technology Holdings Ltd," 64,000 "," 1,912,000 "," (236,000)"," 8,683,000 ",
RTR.AX,Rumble Resources Ltd," (1,029,000)"," (2,930,000)"," 794,000 "," 3,685,000 ",
RUL.AX,RPMGlobal Holdings Ltd," 12,227,000 "," (2,683,000)"," (9,921,000)"," 34,757,000 ",
RXL.AX,Rox Resources Ltd," (2,483,000)"," (52,000)"," 1,824,000 "," 4,289,000 ",
RXM.AX,Rex Minerals Ltd," (4,369,000)"," (89,000)", - ," 5,516,000 ",
RZI.AX,Raiz Invest Ltd," 856,000 "," (860,000)"," 824,000 "," 8,469,000 ",
S2R.AX,S2 Resources Ltd," (1,966,000)"," (99,000)"," 6,650,000 "," 9,018,000 ",
SBM.AX,St Barbara Ltd," 51,900,000 "," 285,891,000 "," (197,945,000)"," 247,037,000 ",
SDI.AX,SDI Ltd," 13,063,000 "," (33,406,000)"," 19,197,000 "," 6,022,000 ",
SDV.AX,SciDev Ltd," (774,000)"," (934,000)"," (244,000)"," 5,806,000 ",
SFX.AX,Sheffield Resources Ltd," (440,000)",, - ," 23,154,000 ",
SGA.AX,Sarytogan Graphite Ltd," (330,000)"," (1,405,000)", - ," 4,852,000 ",
SGC.AX,Sacgasco Ltd," (844,000)"," 479,000 "," 641,000 "," 741,000 ",
SGLLV.AX,Ricegrowers Ltd," 81,909,000 "," (8,474,000)"," (105,087,000)", 0 ,
SGQ.AX,St George Mining Ltd," (2,526,000)"," (60,000)"," 7,747,000 "," 5,500,000 ",
SHA.AX,SHAPE Australia Corp Ltd," 23,557,000 "," (2,311,000)"," 12,725,000 "," 90,552,000 ",
SHG.AX,Singular Health Group Ltd," 251,000 "," (41,000)"," (292,000)"," 32,000 ",
SHJ.AX,Shine Justice Ltd," 8,327,000 "," (9,496,000)"," (29,616,000)"," 21,088,000 ",
SHM.AX,Shriro Holdings Ltd," 19,001,000 "," 11,288,000 "," (10,303,000)"," 32,777,000 ",
SHN.AX,Sunshine Metals Ltd," (169,000)"," (930,000)"," (13,000)"," 2,071,000 ",
SHV.AX,Select Harvests Ltd," (8,246,000)"," (26,151,000)"," 30,737,000 "," (5,188,000)",
SLC.AX,Superloop Ltd," 43,197,000 "," (77,431,000)", 0 ," 32,153,000 ",
SLH.AX,Silk Logistics Holdings Ltd," 60,485,000 "," (24,402,000)"," (37,568,000)"," 30,479,000 ",
SMI.AX,Santana Minerals Ltd," (194,000)"," (3,543,000)"," 285,000 "," 10,614,000 ",
SMN.AX,Structural Monitoring Systems PLC," 815,000 "," (397,000)"," 763,000 "," 1,498,000 ",
SNT.AX,Syntara Ltd," 1,173,000 "," 194,000 "," (2,789,000)"," 5,693,000 ",
SOP.AX,Synertec Corporation Ltd," (5,082,781)"," (330,514)"," 11,946,399 "," 10,653,858 ",
SPL.AX,Starpharma Holdings Ltd," 730,000 ",," (4,184,000)"," 32,131,000 ",
SPN.AX,Sparc Technologies Ltd," (1,064,000)"," (19,000)", 0 ," 908,000 ",
SPQ.AX,Superior Resources Ltd," (275,000)"," (1,975,000)"," 1,873,000 "," 2,079,000 ",
SPR.AX,Spartan Resources Ltd," (2,326,000)"," (9,850,000)"," 23,237,000 "," 39,217,000 ",
SPX.AX,Spenda Ltd," (1,503,000)"," 282,000 "," 360,000 "," 6,016,000 ",
SPZ.AX,Smart Parking Ltd," 9,286,496 "," (5,704,038)"," (4,005,849)"," 10,726,176 ",
SRG.AX,SRG Global Ltd," 43,126,000 "," (102,483,000)"," 47,857,000 "," 47,713,000 ",
SRL.AX,Sunrise Energy Metals Ltd," (2,069,000)"," 70,000 "," (36,000)"," 12,711,000 ",
SRN.AX,Surefire Resources NL," (930,000)",," 2,937,000 "," 2,655,000 ",
